metric,value
aoi_area_m2,996365670.8753943
aoi_area_ha,99636.56708753943
class_0_m2,825746276.9560087
class_0_ha,82574.62769560087
class_1_m2,110171508.25686687
class_1_ha,11017.150825686687
class_2_m2,28614085.4048514
class_2_ha,2861.40854048514
class_3_m2,16840498.53376761
class_3_ha,1684.0498533767611
class_4_m2,14993301.720413208
class_4_ha,1499.3301720413208
burned_area_m2,170619393.9158991
burned_area_ha,17061.93939158991
